PassengerId,Age,Pclass,Survived,Sex,Acquaintance,Cabin
1,22.0,3.0,0.0,1.0,1.0,7.0
2,38.0,1.0,1.0,0.0,1.0,2.0
3,26.0,3.0,1.0,0.0,0.0,7.0
4,35.0,1.0,1.0,0.0,1.0,2.0
5,35.0,3.0,0.0,1.0,0.0,7.0
6,60.0,3.0,0.0,1.0,0.0,7.0
7,54.0,1.0,0.0,1.0,0.0,4.0
8,2.0,3.0,0.0,1.0,1.0,7.0
9,27.0,3.0,1.0,0.0,1.0,7.0
10,14.0,2.0,1.0,0.0,1.0,7.0
11,4.0,3.0,1.0,0.0,1.0,6.0
12,58.0,1.0,1.0,0.0,0.0,2.0
13,20.0,3.0,0.0,1.0,0.0,7.0
14,39.0,3.0,0.0,1.0,1.0,7.0
15,14.0,3.0,0.0,0.0,0.0,7.0
16,55.0,2.0,1.0,0.0,0.0,7.0
17,2.0,3.0,0.0,1.0,1.0,7.0
18,60.0,2.0,1.0,1.0,0.0,7.0
19,31.0,3.0,0.0,0.0,1.0,7.0
20,60.0,3.0,1.0,0.0,0.0,7.0
21,35.0,2.0,0.0,1.0,0.0,7.0
22,34.0,2.0,1.0,1.0,0.0,3.0
23,15.0,3.0,1.0,0.0,0.0,7.0
24,28.0,1.0,1.0,1.0,0.0,0.0
25,8.0,3.0,0.0,0.0,1.0,7.0
26,38.0,3.0,1.0,0.0,1.0,7.0
27,60.0,3.0,0.0,1.0,0.0,7.0
28,19.0,1.0,0.0,1.0,1.0,2.0
29,60.0,3.0,1.0,0.0,0.0,7.0
30,60.0,3.0,0.0,1.0,0.0,7.0
31,40.0,1.0,0.0,1.0,0.0,7.0
32,60.0,1.0,1.0,0.0,1.0,1.0
33,60.0,3.0,1.0,0.0,0.0,7.0
34,66.0,2.0,0.0,1.0,0.0,7.0
35,28.0,1.0,0.0,1.0,1.0,7.0
36,42.0,1.0,0.0,1.0,1.0,7.0
37,60.0,3.0,1.0,1.0,0.0,7.0
38,21.0,3.0,0.0,1.0,0.0,7.0
39,18.0,3.0,0.0,0.0,1.0,7.0
40,14.0,3.0,1.0,0.0,1.0,7.0
41,40.0,3.0,0.0,0.0,1.0,7.0
42,27.0,2.0,0.0,0.0,1.0,7.0
43,60.0,3.0,0.0,1.0,0.0,7.0
44,3.0,2.0,1.0,0.0,1.0,7.0
45,19.0,3.0,1.0,0.0,0.0,7.0
46,60.0,3.0,0.0,1.0,0.0,7.0
47,60.0,3.0,0.0,1.0,1.0,7.0
48,60.0,3.0,1.0,0.0,0.0,7.0
49,60.0,3.0,0.0,1.0,1.0,7.0
50,18.0,3.0,0.0,0.0,1.0,7.0
51,7.0,3.0,0.0,1.0,1.0,7.0
52,21.0,3.0,0.0,1.0,0.0,7.0
53,49.0,1.0,1.0,0.0,1.0,3.0
54,29.0,2.0,1.0,0.0,1.0,7.0
55,65.0,1.0,0.0,1.0,1.0,1.0
56,60.0,1.0,1.0,1.0,0.0,2.0
57,21.0,2.0,1.0,0.0,0.0,7.0
58,29.0,3.0,0.0,1.0,0.0,7.0
59,5.0,2.0,1.0,0.0,1.0,7.0
60,11.0,3.0,0.0,1.0,1.0,7.0
61,22.0,3.0,0.0,1.0,0.0,7.0
62,38.0,1.0,1.0,0.0,0.0,1.0
63,45.0,1.0,0.0,1.0,1.0,2.0
64,4.0,3.0,0.0,1.0,1.0,7.0
65,60.0,1.0,0.0,1.0,0.0,7.0
66,60.0,3.0,1.0,1.0,1.0,7.0
67,29.0,2.0,1.0,0.0,0.0,5.0
68,19.0,3.0,0.0,1.0,0.0,7.0
69,17.0,3.0,1.0,0.0,1.0,7.0
70,26.0,3.0,0.0,1.0,1.0,7.0
71,32.0,2.0,0.0,1.0,0.0,7.0
72,16.0,3.0,0.0,0.0,1.0,7.0
73,21.0,2.0,0.0,1.0,0.0,7.0
74,26.0,3.0,0.0,1.0,1.0,7.0
75,32.0,3.0,1.0,1.0,0.0,7.0
76,25.0,3.0,0.0,1.0,0.0,5.0
77,60.0,3.0,0.0,1.0,0.0,7.0
78,60.0,3.0,0.0,1.0,0.0,7.0
79,1.0,2.0,1.0,1.0,1.0,7.0
80,30.0,3.0,1.0,0.0,0.0,7.0
81,22.0,3.0,0.0,1.0,0.0,7.0
82,29.0,3.0,1.0,1.0,0.0,7.0
83,60.0,3.0,1.0,0.0,0.0,7.0
84,28.0,1.0,0.0,1.0,0.0,7.0
85,17.0,2.0,1.0,0.0,0.0,7.0
86,33.0,3.0,1.0,0.0,1.0,7.0
87,16.0,3.0,0.0,1.0,1.0,7.0
88,60.0,3.0,0.0,1.0,0.0,7.0
89,23.0,1.0,1.0,0.0,1.0,2.0
90,24.0,3.0,0.0,1.0,0.0,7.0
91,29.0,3.0,0.0,1.0,0.0,7.0
92,20.0,3.0,0.0,1.0,0.0,7.0
93,46.0,1.0,0.0,1.0,1.0,4.0
94,26.0,3.0,0.0,1.0,1.0,7.0
95,59.0,3.0,0.0,1.0,0.0,7.0
96,60.0,3.0,0.0,1.0,0.0,7.0
97,71.0,1.0,0.0,1.0,0.0,0.0
98,23.0,1.0,1.0,1.0,1.0,3.0
99,34.0,2.0,1.0,0.0,1.0,7.0
100,34.0,2.0,0.0,1.0,1.0,7.0
101,28.0,3.0,0.0,0.0,0.0,7.0
102,60.0,3.0,0.0,1.0,0.0,7.0
103,21.0,1.0,0.0,1.0,1.0,3.0
104,33.0,3.0,0.0,1.0,0.0,7.0
105,37.0,3.0,0.0,1.0,1.0,7.0
106,28.0,3.0,0.0,1.0,0.0,7.0
107,21.0,3.0,1.0,0.0,0.0,7.0
108,60.0,3.0,1.0,1.0,0.0,7.0
109,38.0,3.0,0.0,1.0,0.0,7.0
110,60.0,3.0,1.0,0.0,1.0,7.0
111,47.0,1.0,0.0,1.0,0.0,2.0
112,15.0,3.0,0.0,0.0,1.0,7.0
113,22.0,3.0,0.0,1.0,0.0,7.0
114,20.0,3.0,0.0,0.0,1.0,7.0
115,17.0,3.0,0.0,0.0,0.0,7.0
116,21.0,3.0,0.0,1.0,0.0,7.0
117,71.0,3.0,0.0,1.0,0.0,7.0
118,29.0,2.0,0.0,1.0,1.0,7.0
119,24.0,1.0,0.0,1.0,1.0,1.0
120,2.0,3.0,0.0,0.0,1.0,7.0
121,21.0,2.0,0.0,1.0,1.0,7.0
122,60.0,3.0,0.0,1.0,0.0,7.0
123,33.0,2.0,0.0,1.0,1.0,7.0
124,33.0,2.0,1.0,0.0,0.0,4.0
125,54.0,1.0,0.0,1.0,1.0,3.0
126,12.0,3.0,1.0,1.0,1.0,7.0
127,60.0,3.0,0.0,1.0,0.0,7.0
128,24.0,3.0,1.0,1.0,0.0,7.0
129,60.0,3.0,1.0,0.0,1.0,5.0
130,45.0,3.0,0.0,1.0,0.0,7.0
131,33.0,3.0,0.0,1.0,0.0,7.0
132,20.0,3.0,0.0,1.0,0.0,7.0
133,47.0,3.0,0.0,0.0,1.0,7.0
134,29.0,2.0,1.0,0.0,1.0,7.0
135,25.0,2.0,0.0,1.0,0.0,7.0
136,23.0,2.0,0.0,1.0,0.0,7.0
137,19.0,1.0,1.0,0.0,1.0,3.0
138,37.0,1.0,0.0,1.0,1.0,2.0
139,16.0,3.0,0.0,1.0,0.0,7.0
140,24.0,1.0,0.0,1.0,0.0,1.0
141,60.0,3.0,0.0,0.0,1.0,7.0
142,22.0,3.0,1.0,0.0,0.0,7.0
143,24.0,3.0,1.0,0.0,1.0,7.0
144,19.0,3.0,0.0,1.0,0.0,7.0
145,18.0,2.0,0.0,1.0,0.0,7.0
146,19.0,2.0,0.0,1.0,1.0,7.0
147,27.0,3.0,1.0,1.0,0.0,7.0
148,9.0,3.0,0.0,0.0,1.0,7.0
149,37.0,2.0,0.0,1.0,1.0,5.0
150,42.0,2.0,0.0,1.0,0.0,7.0
151,51.0,2.0,0.0,1.0,0.0,7.0
152,22.0,1.0,1.0,0.0,1.0,2.0
153,56.0,3.0,0.0,1.0,0.0,7.0
154,41.0,3.0,0.0,1.0,1.0,7.0
155,60.0,3.0,0.0,1.0,0.0,7.0
156,51.0,1.0,0.0,1.0,1.0,7.0
157,16.0,3.0,1.0,0.0,0.0,7.0
158,30.0,3.0,0.0,1.0,0.0,7.0
159,60.0,3.0,0.0,1.0,0.0,7.0
160,60.0,3.0,0.0,1.0,1.0,7.0
161,44.0,3.0,0.0,1.0,1.0,7.0
162,40.0,2.0,1.0,0.0,0.0,7.0
